Part of Season,Date,Age,Opp,Home or Away,Result,GS,MP,FG,FGA,FG%,FG3P,FG3PA,FG3P.PCT,FT,FTA,FT.PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PLUS.MINUS
Playoffs,5/18/14,29-139,IND,Away,L (-11),1,40:50:00,11,18,0.611,1,5,0.2,2,2,1,1,9,10,5,3,0,4,3,25,21.5,-13
Playoffs,5/20/14,29-141,IND,Away,W (+4),1,42:21:00,9,18,0.5,1,5,0.2,3,6,0.5,0,7,7,6,2,3,3,3,22,18,4
Playoffs,5/24/14,29-145,IND,Home,W (+12),1,39:46:00,9,14,0.643,1,2,0.5,7,9,0.778,1,4,5,7,4,0,6,2,26,23,24
Playoffs,5/26/14,29-147,IND,Home,W (+12),1,35:48:00,13,21,0.619,2,3,0.667,4,4,1,0,10,10,5,2,0,2,3,32,27.8,10
Playoffs,5/28/14,29-149,IND,Away,L (-3),1,24:21:00,2,10,0.2,1,3,0.333,2,3,0.667,1,1,2,4,0,1,3,5,7,-0.1,1
Playoffs,5/30/14,29-151,IND,Home,W (+25),1,31:39:00,8,12,0.667,0,0,,9,9,1,1,3,4,6,1,1,2,1,25,24.9,27
Finals,6/5/14,29-157,SAS,Away,L (-15),1,32:53:00,9,17,0.529,2,3,0.667,5,6,0.833,3,3,6,3,3,0,4,1,25,20,0
Finals,6/8/14,29-160,SAS,Away,W (+2),1,37:36:00,14,22,0.636,3,3,1,4,5,0.8,2,8,10,3,2,0,4,3,35,27.5,11
Finals,6/10/14,29-162,SAS,Home,L (-19),1,39:49:00,9,14,0.643,2,4,0.5,2,3,0.667,1,4,5,7,5,0,7,5,22,18.2,-21
Finals,6/12/14,29-164,SAS,Home,L (-21),1,37:39:00,10,17,0.588,4,8,0.5,4,6,0.667,0,8,8,2,0,0,3,0,28,20.1,-21
Finals,6/15/14,29-167,SAS,Away,L (-17),1,41:16:00,10,21,0.476,3,9,0.333,8,9,0.889,1,9,10,5,0,2,1,1,31,26.8,-16
